smiles,staphylococcus_aureus
CC[C@H](C)[C@@H]1N=C(O)[C@H](CCC(=N)O)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)CN=C(O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N=C(O)[C@H]([C@@H](C)CC)OC(=O)[C@H](CCC(=O)O)N(C)C(=O)[C@H](C(C)C)N=C(O)[C@@H]2CCCN2C1=O,0
C[C@@H]1O[C@@H](Oc2cccc3nc4c(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cccc4nc23)[C@H](O)[C@H](O)[C@H]1O,0
CCCCCCCCO[C@@H]1O[C@@H](C)[C@H](OC(=O)CCCCC)[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC(C)=O)[C@@H](O)[C@H]3O)[C@H]2OC(C)=O)[C@H]1O,0
C=C(C)[C@@H]1CC[C@@]2(C)OC3=C(C[C@@H]12)C(=O)[C@]1(O)CO[C@H]3C1,0
CCC(C)C(=O)c1c(O)cc(O)c(C/C=C(\C)CCC=C(C)C)c1O,0
CC(C)=CC(=O)C1=C[C@H](O)[C@]2(O)C[C@H](C(C)(C)O)O[C@H]2C1,0
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)C(=O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,0
COc1cc(O)c2c(c1OC)OC/C(=C\c1ccc(O)c(O)c1)C2=O,0
CCCCCCCCCCC/C=C/C[C@H](OS(=O)(=O)O)[C@H](O)[C@H](N)CO,0
O=C1C=C[C@]2(C=C1Br)CCNC1=C2C2=NCCc3c[nH]c(c32)C1=O,0
CCC(C)CC(C)CCCCC[C@@H](O)CC(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(=O)O)C(C)C,0
CCCCCc1cc(O)c2c(c1)OC(C)(CCC=C(C)C)C=C2,1
COC1=CC(=O)C(c2coc3cc(O)cc(O)c3c2=O)=CC1=O,0
C[C@H]1NCC(O)=NN=C1O,0
C/C=C/C=C/C(O)=N[C@@H](CC(O)=N[C@H](C(=O)[C@@H]1C(=O)N=C(O)[C@H]1C)C(C)C)c1ccccc1,1
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,1
COC(/C(C)=C/CC/C(C)=C/CC[C@]1(C)CCc2cc(O)cc(C)c2O1)[C@H](O)C=C(C)C,0
CC[C@H]1C[C@@]23OC(=O)C(=C2O)C(=O)[C@]2(CC)[C@@H](C=C[C@@H]4[C@@H](O[C@H]5C[C@@H](O)[C@H](NC(=O)c6[nH]c(Cl)c(Cl)c6Cl)[C@@H](C)O5)[C@@H](C)CC[C@@H]42)CCCC/C=C/[C@@]3(C)C=C1C(=O)O,1
CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC(=O)[C@H]2[C@@H]3[C@@H](O)[C@H](O)[C@H]4[C@H](O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0
C[C@@H](CCCCCCCCCCCCCCOC1OC(CO)C(O)C(O)CC1O)C(=O)C1=C(O)N(C)[C@@H](C)C1=O,0
COc1c2c(cc3c1C(=O)[C@]1(O)c4ccc(OCC=C(C)C)cc4O[C@@H]1O3)OC(C)(C)C=C2,0
C=C(C)[C@H](O)CC[C@@H](CO)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@@H](C(=C)C)[C@@]4(CCC(=O)O)C[C@@]34CC[C@]12C,0
C=C1CC[C@]23C(C(=O)OC)=CCC[C@H]2[C@]12C[C@H](c1ccoc1)O[C@H]2O[C@@H]3O,0
COc1cc2oc3c4c(cc(O)c3c(=O)c2c2c1OC(C)(C)CC2)OC(C)(C)CC4,0
CO/C(C)=C1/N=C(O)[C@H]([C@@H](C)O)N=C(O)c2csc(n2)-c2cc(O)c(-c3nc(C(=N)O)cs3)nc2-c2csc(n2)[C@H](CO)N=C(O)c2csc(n2)[C@H]([C@H](O)[C@H](O)C(=O)O)N=C(O)c2csc1n2,0
CC[C@@H](C)C(=O)[C@@]1(C)OC(=O)c2c1cc(O)c(C)c2O,0
COc1ccc2c(ccc3c(-c4c(O)ccc5c4CCc4cc(O)cc(OC)c4-5)c(O)cc(OC)c32)c1,0
O=C(O)C[C@H]1CNC(=O)c2cc(Br)c(Br)n21,0
Cc1cc(O)c(C)c(O)c1C,0
CC(=O)c1coc2c(O)cc(O)cc12,0
O=C1OCC(c2ccccc2)=C1c1ccccc1,0
CCCCCCc1c(O)cc(C)cc1O,1
Oc1ccc(Cc2cc(Br)c(O)c(Br)c2)cc1Br,0
CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O[C@H]1C(=O)C(CO)=C[C@@H](O)[C@@H]1O,0
CO/C1=C\C(C)=C\[C@@H](C)[C@@H](O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](OC(=O)/C=C/C(=O)O)[C@H](C)[C@@H](C(C)C)O2)OC1=O,0
