smiles,staphylococcus_aureus
COC(=O)c1[nH]c(C(=O)OC)c(-c2c[nH]c3ccc(Cl)cc23)c1-c1c[nH]c2ccc(Cl)cc12,0
CC[C@H](C)c1[nH]cc2c(O)c(C(=O)O)c(=O)cc-2c1C,0
C=C(/N=[N+](\[O-])CC(C)C)C(=O)O,1
CC[C@H](C)[C@H](N=C(O)CN)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CO)C(O)=N[C@@H](CO)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCSC)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CCCCN)C(O)=N[C@@H](C)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@H](C(O)=N[C@@H](C)C(O)=N[C@@H](CCCCN)C(=N)O)[C@@H](C)CC,0
C=C1CC[C@H]2C(=C)CC[C@H]3C(=C)C(=O)O[C@@H]3[C@@H]12,0
C=C(C)[C@@H]1CC[C@@H]2[C@]3(CC[C@]4(C)[C@@H]([C@H](C)CC[C@H](O)C(C)(C)O)CC[C@@]24C)C[C@]13CCC(=O)O,0
CCCCC/C=C/C=C/C=O,0
CSSc1ccc2ccccc2n1,1
COc1cc(/C=C/C(=O)OC/C=C(/C)CCC=C(C)C)ccc1O,0
C[C@H](O)[C@H](Cl)C1=C[C@H](O)[C@@H](C)OC1=O,0
C=C(CC[C@@H](C)[C@H]1C[C@H](O)[C@H]2[C@@H]3C[C@@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)[C@H](C)CO,0
OC(c1ccccc1)c1nccc2c1[nH]c1ccc(Br)cc12,0
O=c1oc2cc(O)c(O)cc2c2cc(O)cc(O)c12,0
COc1cc(C)cc(Oc2cc(C)cc(OC(=O)c3ccccc3)c2)c1,0
CC1=CC(=O)c2ccc(C)c(Cl)c2C1=O,0
CCCCCC/C=C/CCCCCCCc1cccc(O)c1C(=O)O,1
CO[C@@H]1[C@H](O)[C@@H](C)O[C@@H](OC[C@H]2/C=C/C=C/C(=O)[C@H](C)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@](O)([C@H](C)O)[C@H]3O)[C@@H](C)/C=C/C(=O)O[C@@H]2C)[C@@H]1OC,0
Oc1cc2[nH]c3ccc4c5ccc(Br)cc5[nH]c4c3c2cc1O,0
CN[C@@H](CC(C)C)C(O)=NCCc1c(Br)[nH]c2ccc(Br)cc12,1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1cc(OC)cc(OC)c1C2=O,0
COc1cc(/C=C/C(O)=NCCc2ccc(O)c(O)c2)ccc1O,0
C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1OC(C)=O,0
CN(C)C(=N)N.C[C@@H]1CCC2=C(CCCC2(C)C)[C@@]1(C)CC[C@H](CCCc1ccoc1)COS(=O)(=O)O,0
COc1cc2oc3cc(OC)c(OC)c(CC=C(C)C)c3c(=O)c2c(O)c1CC=C(C)C,0
COc1cc(O)cc(CCCCCC(=O)CC(C)n2cnc3c(N)ncnc32)c1,0
CCCCCCCCCCCC(=O)O[C@H]1[C@H](O[C@@H]2[C@H]3OC(=O)CCCCCCCCC[C@H](CCCCC)O[C@@H]4O[C@H](C)[C@H](O)[C@H](O)[C@H]4O[C@H](O[C@H]2C)[C@@H]3O)O[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](OC(=O)[C@@H](C)CC)[C@@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0
O=c1ccc2cc3ccoc3cc2o1,0
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0
CCCc1oc(=O)c(C(C)c2c(O)c(CC=C(C)C)c(O)c(C(C)=O)c2O)c(O)c1C(C)C,0
C=C1C[C@@]23C=CC(=O)[C@@](C)(CCC(O)=Nc4c(O)ccc(C(=O)O)c4O)[C@@H]2C[C@@H]1CC3,1
CC1=C(O)/C(=C/[C@H](C)CC/C=C(/C)CC/C=C(/C)CCCc2ccoc2)OC1=O,1
Cc1c(Br)c(O)c(Br)c(Oc2c(Br)c(C)c(Br)c(O)c2Br)c1Br,0
CCCCCCCCCCCCCC1CC(O)=NCCCN(C)CCCCN(C)CCCN1,0
C/C(=C\CCc1ccoc1)CC/C=C(\C)CCC[C@@H](C)CC(=O)O,0
CC=CC1C=CC2CC(C)CCC2[C@@]1(C)C(O)=C1C(=O)C(CO)N(C)C1=O,0
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,0
CCC[C@@H]1C[C@@H](C(O)=N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,1
CC(C)(C(=O)O)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4C[C@@](C)(C(=O)O)CC[C@]4(C)CC[C@]32C)[C@@]1(C)C(=O)O,0
C/C=C/CC[C@H](O)Cc1cc(O)c(C)c(=O)o1,0
C/C=C/C=C/C(=O)[C@H](O)c1cc(O)c(C)c(O)c1C,0
C=CC(C)(C)c1[nH]c2ccc(CC=C(C)C)cc2c1C[C@@H]1N=C(O)[C@H](C)N=C1O,1
C[C@@H]1CC(=O)C2=C(O1)O[C@]1(C)CC[C@@]3(O)C(C)(C)C=CC(=O)[C@]3(C)[C@H]1C2,0
O=C1N[C@@H](c2c[nH]c3ccccc23)CN=C1c1c[nH]c2ccccc12,0
COc1cc(O)c2c(c1O)C/C(CBr)=C\CC[C@@]1(C)O[C@@H]1C2=O,0
CC(C)C[C@@H]1N=C(O)[C@H](Cc2c[nH]c3ccccc23)N=C(O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)O)N=C(O)[C@H](CO)N=C(O)[C@H](Cc2c[nH]c3ccccc23)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](CC(=O)O)N=C(O)CN=C(O)[C@H](CC(=N)O)N=C1O,1
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,0
COc1c2ccoc2c(OC)c2oc(=O)ccc12,0
C[C@@H]1CCC/C=C/[C@@H]2O[C@@H](C/C=C\C=C\[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C/C=C/C=C\C(=O)O1)C[C@@H](O)[C@H]2O,1
Cc1cc(O)c2c(c1)[C@@H]1OC(=O)CN1C1=C2C(=O)c2cccc(O[C@H]3C[C@@H](O)[C@@H](O)[C@H](C)O3)c2C1=O,0
CC(C)=CCC/C(C)=C\CC1(C/C=C(\C)CCC=C(C)C)C(=O)C(O)=Cc2oc3cc(O)cc(O)c3c(=O)c21,0
C#CCCC/C=C/CCCCc1cccc(O)c1,1
C=C1C23C(=O)O[C@@H](C)[C@@]24O[C@]2(C(=C)[C@@]5(C=CC(=O)OC5(C)C)CC(OC(C)=O)C32C)C(OC(C)=O)[C@]1(C)OC4=O,0
C=C1CCCC(C)(C)C1CC[C@@]1(C)c2c(O)cc3c(c2O[C@@H]1CO)C(=O)C=C(OC)C3=O,1
OC1=N[C@H](c2c[nH]c3cc(Br)ccc23)CN[C@H]1c1c[nH]c2ccccc12,0
CO[C@@H]1OCC2=CC[C@H]3[C@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C[C@@H](O)[C@]3(C)[C@H]21,0
C=C(CC[C@@H]1C(C)(C)CCC[C@]1(C)O)C(C)=O,0
COc1c(Br)cc(Br)cc1Oc1c(Br)c(Br)cc(Br)c1OC,0
C=C(C)[C@@H]1CC=C(C)[C@H](CC[C@H]2C(=C)CC[C@@H](C(C)(C)O)[C@]2(C)CCC(=O)OC)[C@@]1(C)CCC(=O)O,1
COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,0
CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](OC3=O)[C@H]2O,0
COc1cc([C@H]2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O[C@@H]2CO)cc(OC)c1O,1
CCCC#CC#CC=C=CCCCCCCCC(=O)O,1
COc1cc(-c2ccc[nH]2)[nH]c1/C=C1/C=C(CCCCC(C)C)C(C)=N1,1
COc1cc([C@H](O)CCO)oc(=O)c1,0
Cc1c(O)cc(CCCCC(C)[C@H](C)O)oc1=O,0
C[C@H]1C(=O)N2c3ccccc3[C@@]3(O)C[C@@H](n4cnc5ccccc5c4=O)C(=O)N1[C@@H]23,0
COc1cc(/C=C\c2ccc(O)cc2)cc(OC)c1,0
COc1cc2oc3c(O)c4c(c(O)c3c(=O)c2cc1OC)-c1c(cc2c(c1O)C(=O)N1CCO[C@]1(C)C2)CC4,1
COc1cc(O)c2c(=O)c3c(C)cc(O)cc3oc2c1,0
NCCCNCCCCNCCCN,0
Cc1cc(O)c(C)c2c1Oc1c3c(cc(C)c1C(=O)O2)OC(C)(C)OC3,0
CCC(=O)C1=C(O)C(C)(C)C(O)=C(Cc2c(O)c3c(c(C(=O)CC)c2O)OC(C)(C)C=C3)C1=O,1
CCCCCC[C@H](C)[C@H]1OC(=O)[C@H](C)N=C(O)[C@H](C)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](C(C)C)N=C(O)CN=C(O)[C@@H]1C,0
CC1(C)[C@@H](O[C@@H]2OC[C@H](O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3CC[C@]45OC[C@@]6(CC[C@](C)(C=O)C[C@H]64)[C@H](O)C[C@@]5(C)[C@]3(C)CC[C@@H]12,0
C[C@@H]1O[C@@H](O)C[C@@](C)(N)[C@H]1O[C@H]1CC[C@H](OC(=O)c2cc(Br)c[nH]2)[C@@H](C)O1,0
CCC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,0
CSC1=CC(=O)C(N)=C(Cl)C1=O,1
O=C(c1nc(-c2c[nH]c3cc(Br)ccc23)c[nH]1)c1c[nH]c2ccccc12,1
CC(=O)OC[C@]12CCCC(C)(C)[C@@H]1CC[C@@]1(C)[C@@H]3CC=C4C(=O)O[C@@H](O)[C@@H]4[C@@]3(C)CC[C@@H]12,0
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO[C@@H](C(=O)O)[C@H](CC(=O)O)C(=O)O,0
O=C1N2[C@H]3C(=CC=C[C@@H]3O)C[C@]23SS[C@]12C[C@H]1[C@@H]([C@@H](O)C=C[C@@H]1O)N2C3=O,1
CC(C)CCCCCCCCC(O)=N[C@@H](CC(=N)O)C(=O)O,0
COC(=O)c1c(Oc2cc(C)cc(O)c2C(=O)O)c(OC)cc(O)c1[N+](=O)[O-],0
C/C=C/[C@@H]1C(C)=C[C@@H]2C[C@](C)(O)CC[C@H]2[C@]1(C)/C(O)=C1\C(=O)[C@H]([C@@H](C)O)N=C1O,0
COc1cc(/C=C/c2ccc(OC(c3cc(OC)cc(OC)c3)C(O)c3ccc(O)cc3)cc2)cc(OC)c1,0
NCCc1cc(Br)c(O)c(Br)c1,0
COc1cc(CCCO)cc2cc(-c3ccc4c(c3)OCO4)oc12,0
C[C@@H]1CCC/C=C/C=C/[C@H](O)C[C@@H](O)C[C@@H]2O[C@@H]2/C=C/[C@@H](O)C/C=C/C=C\C(=O)O1,1
CO[C@@H]1CC(=O)c2cc(C(N)=O)ncc21,0
COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,0
CC(=O)C[C@]12C(=O)c3cccc(O)c3C(=O)[C@H]1[C@@]1(O[C@H](C)CC(=O)[C@H]1O)O[C@@H]1CC(=O)O[C@@H]12,1
Oc1cc2ccnc3c2c(c1O)NC=C3,0
CC(=CC=C1C[C@@H]2O[C@@H](C(C)(C)O)C[C@]23O[C@@H]3[C@@H]1O)CO,0
CC[C@@H](O)[C@@H]1C[C@@H]2OC(=O)c3c(cc(OC)c(OC)c3O)[C@@H]2O1,0
Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc2c(c1O)C[C@H](O)[C@@H](c1ccc(O)c(O)c1)O2,0
CC1(C)C=Cc2c(ccc3c2OC[C@@H](c2ccc(O)cc2O)C3)O1,1
C[C@@H]1Cc2c3c(cc(O)c2C(=O)O1)O[C@@]1(C)[C@@H](O)C[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@@H]1C3,0
CC(C)[C@@H]1C[C@@]2(CC[C@]3(C(C)C)C[C@H]23)OC2=C1C(=O)C(C)(C)C(=O)C2(C)C,0
CC(C)=CCc1c(O)ccc2c1O[C@H]1c3ccc(O)cc3OC[C@@H]21,0
COC(=O)c1cc(O)cc(OC)c1Oc1cc(C)cc(O)c1C(=O)O,0
CCC(C)CC(C)CCCC[C@@H](O)CC(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(=O)O,1
CC(C)CCN=C(O)/C=C/C=C/c1ccc2c(c1)OCO2,0
O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,0
O=C1C(NC2Cc3cc(Br)c(O)cc3S2)=CC2=NCCc3c[nH]c1c32,0
CO[C@@H]1[C@H](O)[C@@H](C)O[C@@H](OC[C@H]2/C=C/CCC(=O)[C@H](C)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@](O)([C@H](C)O)[C@H]3O)[C@@H](C)/C=C/C(=O)O[C@@H]2C)[C@@H]1OC,0
C[C@H]1C(=O)N2c3ccccc3[C@@]3(O)C[C@H]4C(O)=N[C@H](c5nc6ccccc6c(=O)n54)N1[C@@H]23,0
C=C[C@@]1(C)CCc2c3c(cc(O)c2[C@@H]1O)C(C)(C)[C@H](O)CC3,0
C[C@H]1C[C@@](C)(O)C[C@@H]([C@H](O)CC2CC(=O)N=C(O)C2)C1=O,1
CCC(C)C(=O)c1c(O)cc(O)cc1OC/C=C(\C)CCC1OC1(C)C,0
C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)[C@@]4(O)C[C@@H](O)CC[C@]4(COC(C)=O)[C@H]3CC[C@]12C)C(C)C,0
COc1cc(OC(C)=O)c2c(c1O)C(=O)c1cc(C)c(O)cc1C2=O,0
COc1ccc(CCCCCCCCC(=O)c2c(OC)cccc2OC)cc1,0
CC(C)(O)[C@H](O)[C@H]1O[C@H]2[C@H]3O[C@@]34[C@H](CC[C@@]3(C)[C@@]4(O)CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)O[C@@H]2C(C)(C)O1,0
CCC(C)C1N=C(O)[C@H](Cc2ccccc2)n2c1nc1c(c2=O)C=CC=CO1,0
CC(C)=CCc1cc(O)c(O)c(CC=C(C)C)c1[C@H]1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)[C@@H]1O,1
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,1
O=C(O)/C=C/c1ccccc1,1
O=C(CCc1ccc(O)cc1)c1c(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1O,0
CC(=O)CCCCC[C@@H]1Cc2c(C)c(O)cc(O)c2C(=O)O1,0
C=C(C)[C@H]1CC[C@]2(C)C[C@@H]3O[C@@]3(C)CC/C=C(\C)CC[C@@H]12,0
CC1=CC(=O)C=C(CC[C@](C)(O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C1=O,0
COc1cc(O)c2c(c1)C1=C[C@H](OC(C)=O)[C@@H](O)C[C@]1(C)OC2=O,0
CCCc1cc(O)cc2c1OC(=O)c1c(CCC)c(Cl)c(O)c(Cl)c1O2,1
Cc1cc(O)c2c(c1)[C@@H]1OC(=O)[C@H](CC(C)C)N1C1=C2C(=O)c2cccc(O[C@H]3C[C@@H](O)[C@@H](O)[C@H](C)O3)c2C1=O,1
COC(=O)c1c(Oc2cc(C)cc(O)c2C(=O)OCC(C)C(=O)O)c(OC)cc(O)c1[N+](=O)[O-],0
CC[C@@]12SS[C@]3(C(=O)N1C)[C@@H](O)[C@]1(c4c[nH]c5ccccc45)c4ccccc4N[C@@H]1N3C2=O,0
COC(c1ccc(O)cc1)[C@@H]1c2cc(O)cc(O)c2[C@H](c2ccc(O)cc2)[C@H]1c1cc(O)cc(O)c1,0
C[C@@H]1CCC/C=C/C=C/[C@H](O)C[C@@H](O)[C@H](O)/C=C\C=C\[C@@H](O)C/C=C/C=C\C(=O)O1,1
CC(C)=CCCC1(C)C=Cc2cc(O)ccc2O1,0
O=C(NCCCCNCCCNC(=O)c1cc(Br)c[nH]1)c1cc(Br)c[nH]1,0
CC[C@H](C)C1=C2C(=O)O[C@@]3(C)C(=O)C=C4C=C(C)O[C@@H](O1)[C@@]4(O)[C@@]23O,0
C/C=C/c1cc(OC)c2c(c1)[C@@H](C)[C@H](c1ccc(OC)c(OC)c1)O2,0
CC1(C)CCC[C@]2(C)[C@H]3CC/C(=C\OS(=O)(=O)O)[C@H](CCC4=CCN=C4[O-])[C@@]3(C)CC[C@@H]12.[Na+],0
CC(C)=CCc1c(O)cc(O)c(C=O)c1C(=O)c1c(O)cc(C)c(Cl)c1O,1
CN=c1[nH]cnc(N)c1N(C=O)C/C=C(\C)CC/C=C(\C)CC[C@@]1(C)C(C)=CCC[C@@H]1C,1
CC(O)=N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1
O=C1C(Cc2ccc(O)cc2)=C(Cc2ccc(O)cc2)C(=O)C1(c1ccc(O)cc1)c1cc(Cc2c(Cc3ccc(O)cc3)cc(-c3ccc(O)cc3)oc2=O)c(O)cc1O,0
CC1=C[C@@]2(O)[C@@H]([C@]3(C)C[C@H](C)C[C@H](C)C(=O)O3)CC(=O)[C@]23C(=O)N(C)C(=O)[C@@H](c2ccccc2)[C@@H]3[C@@H]1C,0
CC1=C(O)/C(=C/[C@H](C)CCC/C(C)=C/CC/C(C)=C/CCC2=CC(O)OC2=O)OC1=O,0
C=C(C)C(O)CC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)c(OC)c1)O2,0
CCCCCCCC(O)/C=C/C(C)=C/CC(O)=NC[C@H](O)[C@H](C)C(O)=NCC/C=C/C=C/C=C/C(=O)O,0
N=C(O)c1cccnc1,0
CCCCCCc1c(O)cc(CCC)cc1O,1
CC[C@]12CC(=O)[C@@]3(O)[C@](O)(CC(O)=C4C(=O)c5c(O)cccc5C(=O)[C@@]43S1)C2,0
COc1cc(OC)c(-c2cc(OC)c(Cl)c3c2C(=O)[C@@]2(O)C(=O)c4c(cc(O)c(Cl)c4O)C(C)(C)[C@H]2C3)c(C)c1Cl,1
CCCCCCCC/C=C/CCCCCCCC(=O)O,0
CC[C@@H](C)C(=O)[C@@H](C)c1cc(O)c(C)c(O)c1C=O,0
CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c4c2OC(c2ccccc2)CC4=O)OC(C)(C)C=C3)c1O,0
CCCCC[C@H](CCCCCCCCCC(=O)OC[C@H]1O[C@H]2O[C@H]3[C@H](O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]4[C@H](O[C@@H]2[C@@H](O)[C@@H]1O)O[C@H](C)[C@@H](O)[C@@H]4O)O[C@H](C)[C@H](O)[C@@H]3O)O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O)[C@H](O)[C@H]1O,0
C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4C[C@@](C)(C(=O)O)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,0
COc1cc(OC)c2c(c1)C(=O)C1=C(C2=O)[C@H](OC)O[C@@H](C)C1,0
CC1=C2[C@@H](O)[C@]3(C)[C@@H](C)CC[C@H]4O[C@]43C[C@@]2(O)OC1=O,0
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(=O)C(=C)[C@@H](O)CO)C[C@]1(C)[C@@H]2[C@H](C=O)CC[C@H]1O,1
C[C@H]1CC[C@H]2[C@H](C1)c1c(O)cc(/C=C/c3ccccc3O)cc1OC2(C)C,1
C/C=C/[C@@H]1C=C[C@@H]2C[C@@H](C)CC[C@@H]2[C@]1(C)C(=O)C1=C(O)C(C(C)O)N(C)C1=O,0
CCCCCCCC/C=C/C=O,0
CC[C@@H]1[C@@H](C)O[C@@](OC)([C@@H](C)[C@H](O)[C@H](C)[C@H]2OC(=O)/C=C/C=C/[C@H](C)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]3(OC)C[C@@H](O[C@H]4C[C@H](O)[C@H](O)[C@H](C)O4)[C@H](C)[C@@H](C)O3)OC(=O)/C=C/C=C/[C@@H]2C)C[C@H]1O[C@H]1C[C@H](O)[C@H](O)[C@H](C)O1,0
CCOC(=O)[C@H](CCCNC(=N)N)N=C(O)[C@H](Cc1c[nH]c2ccccc12)N=C(O)[C@@H](CC(C)C)N=C(O)[C@H](CO)N=C(O)[C@@H](Cc1ccc(O)cc1)N=C(O)CCCCCC(C)C,1
CC(C)=CCc1c2c(c(O)c3c(=O)c(-c4ccc(O)cc4)coc13)C=CC(C)(C)O2,1
C=C[C@@](C)(O)CC[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C,0
C/C(=C\CC/C(C)=C/C[C@H](O)c1ccoc1)CC/C=C(\C)CC(=O)CC(C)C,0
O=C(c1cc(Br)c(O)c(Br)c1)c1nccc2c1[nH]c1cc(Br)ccc12,1
C/C=C/C=C/[C@@H]1CC[C@@H]2C[C@H](C)CC[C@H]2[C@]1(C)C(=O)C1=C(O)[C@H](C(C)O)N=C1O,0
CC[C@H](C)[C@H](N=C(O)[C@@H](N=C(O)[C@H](C)N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](CO)N=C(O)[C@@H](N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CCC(=O)O)N=C(O)[C@H](CC(=N)O)N=C(O)[C@@H](N)CC(=N)O)C(C)C)C(C)C)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CO)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=NCC(=N)O,0
C=C1CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(NCCc4ccccc4)C3=O)[C@@H](C)CC[C@]12C,0
C=C1CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1CCC1=C(C)[C@H](O)C[C@H]2C(C)(C)C(=O)CC[C@]12C,0
CCCc1c(O)cc(CC)oc1=O,1
CC1=CC[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(cc(-c3cccnc3)oc1=O)O2,0
CCCCCC/C=C/[C@H]1CC2=C(O1)[C@H](O)CCC2=O,0
C/C1=C\C[C@]2(C)C(=O)C(O)=C([C@H](C)CO)[C@H]2C/C=C(\C)[C@@H]2CC[C@@](C)(O2)[C@@H](O)CC1,0
CC(C)[C@@H](O)/C=C/[C@@H](C)[C@H]1C[C@@H](O)[C@H]2[C@@H]3C[C@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0
C/C1=C\C(=O)C/C(CO)=C/CC(C)(C)C(=O)[C@@H](O)C1,0
CCCCCCCCCCCCC(C)(O)C(O)CC(O)=N[C@@H](CO)C(O)=N[C@@H](C)C(O)=N[C@@H](CC(=O)O)C(O)=N[C@@H](C)C(O)=N[C@@H](CO)C(O)=N[C@@H](CO)C(O)=N[C@H](C(=O)O)[C@@H](C)O,0
CCCCCCCC(O)CCCCCC1CC(O)=NCCCN(C)CCCCN(C)CCCN1C,0
CCCCC(Cl)CCCC[C@H](C)[C@@H](OC(C)=O)c1cc(O)c([C@@H](CCCC)CCCC[C@H](C)[C@@H](OC(C)=O)c2cc(O)cc(O)c2)c(O)c1,0
CC1=C2C[C@]3(C)[C@@H](C)CC[C@@H](O)[C@@]3(O)C[C@@]2(O)OC1=O,0
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)N=C(O)[C@@]23[C@@H]([C@@H]2[C@H](C=C(C)C[C@@H](C)C[C@H]2O)[C@H]3O)[C@@H]1O,0
C[C@@]12C[C@H](O)C[C@@]3(C)[C@@H](C1)[C@@](O)(CO)CC[C@@]23C,0
CO[C@@H]1c2c(O)cc(C)c(O)c2C(=O)[C@@H]2C[C@H](O)C[C@H](O)[C@@H]12,1
CC[C@H](C)[C@H](N=C(O)[C@H](CCCCN)N=C(O)CN=C(O)[C@H](CCSC)N=C(O)[C@H](C)N=C(O)[C@H](Cc1cnc[nH]1)N=C(O)[C@H](C)N=C(O)[C@@H](N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CCC(=N)O)N=C(O)[C@H](CCCNC(=N)N)N=C(O)CN=C(O)[C@H](C)N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CCCCN)N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N=C(O)CN)C(C)C)[C@@H](C)CC)[C@@H](C)CC)C(C)C)C(O)=N[C@@H](C)C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@@H](CCCCN)C(O)=N[C@H](C(=N)O)C(C)C,0
Cc1cccc(O)c1C1=CC2=CC(=O)[C@](C)(O)C(=O)C2=CO1,0
COC(=O)C1=C(c2ccsc2C)O[C@](C)(/C=C/CC[C@@H](C)O)C1=O,1
CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@@H](O)[C@@H]2OC3=O,0
CC1=CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1CC/C=C(\C)CC/C=C(\C)CC[C@@H](O)C(C)(C)O,0
C=C1C[C@@H]2OC(=O)C3=CCC[C@H]4[C@]15C[C@H](c1ccoc1)O[C@H]5OC(=O)[C@]324,0
C[C@H]1O[C@@H]2CC(=O)O[C@@H]2c2oc(=O)c3ccc([C@H]4C[C@@H](N(C)C)[C@H](O)[C@@H](C)O4)c(O)c3c(=O)c21,0
CC(C)=C/C(C=O)=C(/C)CCC/C(C)=C/CC[C@]1(C)CCc2cc(O)cc(C)c2O1,0
COC(=O)c1c(Oc2cc(C)cc(O)c2C(=O)OC(C)C(=O)O)c(OC)cc(O)c1[N+](=O)[O-],0
